size
"2",,"","","","","arm-none-eabi-gcc (GCC) 5.3.0"
"","-Os -std=gnu89 -mthumb -mcpu=arm966e-s -mno-thumb-interwork"
linux-2.4.23-pre3-testplatform,fs/nfsd/stats,40
linux-2.4.23-pre3-testplatform,fs/nfsd/lockd,184
linux-2.4.23-pre3-testplatform,fs/nfsd/auth,120
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsproc,2891
linux-2.4.23-pre3-testplatform,fs/nfsd/export,3953
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsxdr,1608
linux-2.4.23-pre3-testplatform,fs/nfsd/nfs3xdr,3368
linux-2.4.23-pre3-testplatform,fs/nfsd/nfs3proc,2582
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsfh,3534
linux-2.4.23-pre3-testplatform,fs/fifo,472
linux-2.4.23-pre3-testplatform,fs/ramfs/inode,1071
linux-2.4.23-pre3-testplatform,fs/filesystems,0
linux-2.4.23-pre3-testplatform,fs/file_table,639
linux-2.4.23-pre3-testplatform,fs/block_dev,2709
linux-2.4.23-pre3-testplatform,fs/readdir,1165
linux-2.4.23-pre3-testplatform,fs/binfmt_elf,0
linux-2.4.23-pre3-testplatform,fs/inode,3485
linux-2.4.23-pre3-testplatform,fs/nfs/unlink,556
linux-2.4.23-pre3-testplatform,fs/nfs/symlink,304
linux-2.4.23-pre3-testplatform,fs/nfs/proc,1252
linux-2.4.23-pre3-testplatform,fs/nfs/write,4262
linux-2.4.23-pre3-testplatform,fs/nfs/inode,5368
linux-2.4.23-pre3-testplatform,fs/nfs/file,780
linux-2.4.23-pre3-testplatform,fs/nfs/dir,3376
linux-2.4.23-pre3-testplatform,fs/nfs/nfs3xdr,3920
linux-2.4.23-pre3-testplatform,fs/nfs/pagelist,1607
linux-2.4.23-pre3-testplatform,fs/nfs/read,1656
linux-2.4.23-pre3-testplatform,fs/nfs/flushd,352
linux-2.4.23-pre3-testplatform,fs/nfs/nfs2xdr,2920
