time
"2",,"","","","","arm-none-eabi-gcc (GCC) 6.1.0"
"","-Os -std=gnu89 -mcpu=cortex-m3"
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/entry,0.01,0.01,0.02
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/s390_ext,0.04,0.06,0.06
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/traps,0.11,0.11,0.12
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/setup,0.10,0.11,0.11
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/debug,0.16,0.17,0.20
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/semaphore,0.04,0.05,0.06
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/needed,0.01,0.01,0.01
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/reipl,0.01,0.01,0.01
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/process,0.08,0.09,0.10
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/signal,0.13,0.14,0.15
linux-2.4.23-pre3-testplatform,fs/read_write,0.11,0.12,0.12
linux-2.4.23-pre3-testplatform,fs/pipe,0.12,0.12,0.12
linux-2.4.23-pre3-testplatform,fs/char_dev,0.05,0.06,0.06
linux-2.4.23-pre3-testplatform,fs/partitions/msdos,0.08,0.09,0.10
linux-2.4.23-pre3-testplatform,fs/partitions/check,0.12,0.12,0.12
linux-2.4.23-pre3-testplatform,fs/readdir,0.09,0.10,0.11
linux-2.4.23-pre3-testplatform,fs/dcache,0.21,0.21,0.22
linux-2.4.23-pre3-testplatform,fs/attr,0.06,0.07,0.08
linux-2.4.23-pre3-testplatform,fs/filesystems,0.02,0.03,0.04
linux-2.4.23-pre3-testplatform,fs/quota,0.11,0.13,0.14
linux-2.4.23-pre3-testplatform,fs/ioctl,0.04,0.05,0.06
linux-2.4.23-pre3-testplatform,fs/dnotify,0.05,0.06,0.07
linux-2.4.23-pre3-testplatform,fs/nfsd/stats,0.04,0.06,0.06
linux-2.4.23-pre3-testplatform,fs/nfsd/nfs3xdr,0.22,0.22,0.23
linux-2.4.23-pre3-testplatform,fs/nfsd/nfs3proc,0.13,0.13,0.14
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsctl,0.07,0.07,0.09
linux-2.4.23-pre3-testplatform,fs/nfsd/export,0.23,0.24,0.25
linux-2.4.23-pre3-testplatform,fs/nfsd/nfscache,0.09,0.09,0.10
linux-2.4.23-pre3-testplatform,fs/nfsd/nfssvc,0.08,0.09,0.10
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsproc,0.12,0.12,0.13
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsxdr,0.13,0.13,0.14
linux-2.4.23-pre3-testplatform,fs/nfsd/auth,0.04,0.05,0.05
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsfh,0.18,0.18,0.20
linux-2.4.23-pre3-testplatform,fs/nfsd/lockd,0.05,0.05,0.06
linux-2.4.23-pre3-testplatform,fs/nfsd/vfs,0.29,0.31,0.31
linux-2.4.23-pre3-testplatform,fs/xattr,0.08,0.09,0.09
linux-2.4.23-pre3-testplatform,fs/ramfs/inode,0.09,0.09,0.10
linux-2.4.23-pre3-testplatform,fs/file_table,0.07,0.07,0.08
linux-2.4.23-pre3-testplatform,fs/namei,0.37,0.40,0.40
linux-2.4.23-pre3-testplatform,fs/exec,0.21,0.22,0.22
linux-2.4.23-pre3-testplatform,fs/fcntl,0.10,0.10,0.11
linux-2.4.23-pre3-testplatform,fs/open,0.19,0.20,0.20
linux-2.4.23-pre3-testplatform,fs/locks,0.29,0.33,0.34
linux-2.4.23-pre3-testplatform,fs/bad_inode,0.04,0.05,0.05
linux-2.4.23-pre3-testplatform,fs/stat,0.06,0.07,0.07
linux-2.4.23-pre3-testplatform,fs/nfs/nfs2xdr,0.16,0.16,0.17
linux-2.4.23-pre3-testplatform,fs/nfs/nfs3xdr,0.20,0.20,0.21
linux-2.4.23-pre3-testplatform,fs/nfs/nfs3proc,0.13,0.14,0.14
linux-2.4.23-pre3-testplatform,fs/nfs/read,0.12,0.12,0.13
linux-2.4.23-pre3-testplatform,fs/nfs/flushd,0.07,0.08,0.08
linux-2.4.23-pre3-testplatform,fs/nfs/pagelist,0.13,0.14,0.14
linux-2.4.23-pre3-testplatform,fs/nfs/proc,0.10,0.10,0.10
linux-2.4.23-pre3-testplatform,fs/nfs/dir,0.20,0.21,0.21
linux-2.4.23-pre3-testplatform,fs/nfs/symlink,0.05,0.06,0.07
linux-2.4.23-pre3-testplatform,fs/nfs/unlink,0.07,0.08,0.08
linux-2.4.23-pre3-testplatform,fs/nfs/inode,0.23,0.23,0.25
linux-2.4.23-pre3-testplatform,fs/nfs/file,0.08,0.08,0.10
linux-2.4.23-pre3-testplatform,fs/nfs/write,0.23,0.26,0.26
linux-2.4.23-pre3-testplatform,fs/lockd/xdr4,0.15,0.17,0.18
linux-2.4.23-pre3-testplatform,fs/lockd/svc,0.08,0.08,0.10
linux-2.4.23-pre3-testplatform,fs/lockd/clntproc,0.12,0.13,0.14
linux-2.4.23-pre3-testplatform,fs/lockd/svcsubs,0.09,0.09,0.10
linux-2.4.23-pre3-testplatform,fs/lockd/svclock,0.12,0.12,0.15
linux-2.4.23-pre3-testplatform,fs/lockd/lockd_syms,0.00,0.01,0.01
linux-2.4.23-pre3-testplatform,fs/lockd/mon,0.07,0.08,0.09
linux-2.4.23-pre3-testplatform,fs/lockd/xdr,0.16,0.16,0.17
linux-2.4.23-pre3-testplatform,fs/lockd/clntlock,0.08,0.08,0.09
linux-2.4.23-pre3-testplatform,fs/lockd/svc4proc,0.12,0.12,0.12
linux-2.4.23-pre3-testplatform,fs/lockd/host,0.10,0.10,0.11
linux-2.4.23-pre3-testplatform,fs/lockd/svcproc,0.11,0.12,0.13
linux-2.4.23-pre3-testplatform,fs/lockd/svcshare,0.05,0.05,0.07
linux-2.4.23-pre3-testplatform,fs/devices,0.06,0.06,0.06
linux-2.4.23-pre3-testplatform,fs/jbd/revoke,0.11,0.11,0.12
linux-2.4.23-pre3-testplatform,fs/jbd/commit,0.13,0.15,0.16
linux-2.4.23-pre3-testplatform,fs/jbd/transaction,0.26,0.28,0.29
linux-2.4.23-pre3-testplatform,fs/jbd/journal,0.27,0.27,0.28
linux-2.4.23-pre3-testplatform,fs/jbd/checkpoint,0.12,0.12,0.13
linux-2.4.23-pre3-testplatform,fs/jbd/recovery,0.10,0.11,0.12
linux-2.4.23-pre3-testplatform,fs/binfmt_script,0.06,0.06,0.07
linux-2.4.23-pre3-testplatform,fs/iobuf,0.07,0.08,0.08
linux-2.4.23-pre3-testplatform,fs/buffer,0.51,0.53,0.55
linux-2.4.23-pre3-testplatform,fs/binfmt_elf,0.04,0.05,0.06
linux-2.4.23-pre3-testplatform,fs/fifo,0.05,0.06,0.07
linux-2.4.23-pre3-testplatform,fs/select,0.12,0.13,0.14
linux-2.4.23-pre3-testplatform,fs/inode,0.22,0.22,0.25
