size
"2",,"","","","","arm-none-eabi-gcc (GCC) 12.1.0"
"","-Os -std=gnu89 -marm -mcpu=arm966e-s -mno-thumb-interwork"
linux-2.4.23-pre3-testplatform,net/sunrpc/auth_unix,854
linux-2.4.23-pre3-testplatform,net/sunrpc/clnt,4472
linux-2.4.23-pre3-testplatform,net/sunrpc/pmap_clnt,857
linux-2.4.23-pre3-testplatform,net/sunrpc/auth,1088
linux-2.4.23-pre3-testplatform,net/sunrpc/svc,2349
linux-2.4.23-pre3-testplatform,net/ethernet/eth,693
linux-2.4.23-pre3-testplatform,net/sched/sch_generic,2634
linux-2.4.23-pre3-testplatform,net/core/skbuff,6217
linux-2.4.23-pre3-testplatform,net/core/neighbour,8905
linux-2.4.23-pre3-testplatform,net/core/iovec,1076
linux-2.4.23-pre3-testplatform,net/core/dst,1020
linux-2.4.23-pre3-testplatform,net/core/dev_mcast,965
linux-2.4.23-pre3-testplatform,net/core/sock,3721
linux-2.4.23-pre3-testplatform,net/core/utils,265
linux-2.4.23-pre3-testplatform,net/core/rtnetlink,3237
linux-2.4.23-pre3-testplatform,net/core/scm,980
linux-2.4.23-pre3-testplatform,net/core/dev,9840
linux-2.4.23-pre3-testplatform,net/core/ethtool,120
linux-2.4.23-pre3-testplatform,net/core/datagram,1875
linux-2.4.23-pre3-testplatform,kernel/timer,2585
linux-2.4.23-pre3-testplatform,kernel/printk,2296
linux-2.4.23-pre3-testplatform,kernel/info,344
linux-2.4.23-pre3-testplatform,kernel/sched,3082
linux-2.4.23-pre3-testplatform,kernel/ptrace,916
linux-2.4.23-pre3-testplatform,kernel/kmod,300
linux-2.4.23-pre3-testplatform,kernel/dma,20
linux-2.4.23-pre3-testplatform,kernel/fork,1289
linux-2.4.23-pre3-testplatform,kernel/time,776
linux-2.4.23-pre3-testplatform,kernel/acct,8
linux-2.4.23-pre3-testplatform,kernel/context,487
linux-2.4.23-pre3-testplatform,kernel/user,244
linux-2.4.23-pre3-testplatform,kernel/exit,835
linux-2.4.23-pre3-testplatform,kernel/capability,20
linux-2.4.23-pre3-testplatform,kernel/softirq,1870
linux-2.4.23-pre3-testplatform,kernel/sysctl,100
linux-2.4.23-pre3-testplatform,kernel/itimer,448
linux-2.4.23-pre3-testplatform,kernel/resource,1305
linux-2.4.23-pre3-testplatform,kernel/exec_domain,607
linux-2.4.23-pre3-testplatform,kernel/sys,2348
linux-2.4.23-pre3-testplatform,kernel/module,975
linux-2.4.23-pre3-testplatform,kernel/signal,2999
linux-2.4.23-pre3-testplatform,kernel/panic,591
linux-2.4.23-pre3-testplatform,ipc/msg,1890
linux-2.4.23-pre3-testplatform,ipc/sem,3574
linux-2.4.23-pre3-testplatform,ipc/util,899
linux-2.4.23-pre3-testplatform,ipc/shm,2203
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/init_task,9916
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/head,4
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/sys_s390,836
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/s390fpu,28
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/entry,36
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/ptrace,1508
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/cpcmd,4
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/traps,4254
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/time,20
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/debug,3990
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/s390_ext,700
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/reipl,4
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/bitmap,3
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/ebcdic,1536
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/needed,32
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/signal,1296
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/setup,2260
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/irq,36
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/semaphore,76
linux-2.4.23-pre3-testplatform,arch/testplatform/kernel/process,804
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/fault,278
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/ioremap,739
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/init,1844
linux-2.4.23-pre3-testplatform,arch/testplatform/mm/extable,80
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/checksum,8
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/strncpy,8
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/uaccess,24
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/delay,8
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/misaligned,144
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/strcmp,8
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/memset,8
linux-2.4.23-pre3-testplatform,arch/testplatform/lib/memcpy,8
linux-2.4.23-pre3-testplatform,mm/mlock,728
linux-2.4.23-pre3-testplatform,mm/slab,3866
linux-2.4.23-pre3-testplatform,mm/swap,522
linux-2.4.23-pre3-testplatform,mm/shmem,5963
linux-2.4.23-pre3-testplatform,mm/swap_state,1163
linux-2.4.23-pre3-testplatform,mm/oom_kill,663
linux-2.4.23-pre3-testplatform,mm/swapfile,3607
linux-2.4.23-pre3-testplatform,mm/vmalloc,2255
linux-2.4.23-pre3-testplatform,mm/mremap,804
linux-2.4.23-pre3-testplatform,mm/vmscan,64
linux-2.4.23-pre3-testplatform,mm/filemap,10717
linux-2.4.23-pre3-testplatform,mm/mmap,2886
linux-2.4.23-pre3-testplatform,mm/page_io,647
linux-2.4.23-pre3-testplatform,mm/page_alloc,3203
linux-2.4.23-pre3-testplatform,mm/memory,4068
linux-2.4.23-pre3-testplatform,mm/numa,908
linux-2.4.23-pre3-testplatform,mm/bootmem,1719
linux-2.4.23-pre3-testplatform,mm/mprotect,896
linux-2.4.23-pre3-testplatform,lib/dec_and_lock,0
linux-2.4.23-pre3-testplatform,lib/rbtree,1116
linux-2.4.23-pre3-testplatform,lib/dump_stack,66
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inffast,966
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inftrees,6761
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/infblock,2606
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/infutil,392
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/infcodes,1610
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inflate,2898
linux-2.4.23-pre3-testplatform,lib/zlib_inflate/inflate_syms,0
linux-2.4.23-pre3-testplatform,lib/zlib_deflate/deflate_syms,0
linux-2.4.23-pre3-testplatform,lib/zlib_deflate/deflate,6240
linux-2.4.23-pre3-testplatform,lib/zlib_deflate/deftree,8324
linux-2.4.23-pre3-testplatform,lib/rwsem-spinlock,476
