size
"2",,"","","","","arm-none-eabi-gcc (GCC) 7.3.0"
"","-Os -std=gnu89 -mcpu=cortex-m0"
linux-2.4.23-pre3-testplatform,lib/zlib_deflate/deflate,3744
linux-2.4.23-pre3-testplatform,lib/zlib_deflate/deftree,6028
linux-2.4.23-pre3-testplatform,lib/rwsem-spinlock,350
linux-2.4.23-pre3-testplatform,lib/bust_spinlocks,50
linux-2.4.23-pre3-testplatform,lib/vsprintf,2433
linux-2.4.23-pre3-testplatform,lib/brlock,0
linux-2.4.23-pre3-testplatform,lib/string,480
linux-2.4.23-pre3-testplatform,lib/ctype,256
linux-2.4.23-pre3-testplatform,lib/errno,0
linux-2.4.23-pre3-testplatform,lib/cmdline,170
linux-2.4.23-pre3-testplatform,init/do_mounts,3402
linux-2.4.23-pre3-testplatform,init/version,499
linux-2.4.23-pre3-testplatform,init/main,1255
linux-2.4.23-pre3-testplatform,fs/seq_file,1508
linux-2.4.23-pre3-testplatform,fs/block_dev,2653
linux-2.4.23-pre3-testplatform,fs/dnotify,368
linux-2.4.23-pre3-testplatform,fs/pipe,1798
linux-2.4.23-pre3-testplatform,fs/xattr,608
linux-2.4.23-pre3-testplatform,fs/binfmt_elf,0
linux-2.4.23-pre3-testplatform,fs/attr,546
linux-2.4.23-pre3-testplatform,fs/filesystems,0
linux-2.4.23-pre3-testplatform,fs/locks,5660
linux-2.4.23-pre3-testplatform,fs/partitions/check,1171
linux-2.4.23-pre3-testplatform,fs/partitions/msdos,260
linux-2.4.23-pre3-testplatform,fs/bad_inode,236
linux-2.4.23-pre3-testplatform,fs/iobuf,687
linux-2.4.23-pre3-testplatform,fs/nfsd/export,3921
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsproc,2891
linux-2.4.23-pre3-testplatform,fs/nfsd/stats,40
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsctl,611
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsxdr,1580
linux-2.4.23-pre3-testplatform,fs/nfsd/nfsfh,3506
linux-2.4.23-pre3-testplatform,fs/nfsd/nfs3proc,2582
linux-2.4.23-pre3-testplatform,fs/nfsd/lockd,184
linux-2.4.23-pre3-testplatform,fs/nfsd/nfs3xdr,3368
linux-2.4.23-pre3-testplatform,fs/nfsd/nfssvc,1070
linux-2.4.23-pre3-testplatform,fs/nfsd/auth,120
linux-2.4.23-pre3-testplatform,fs/nfsd/nfscache,1327
linux-2.4.23-pre3-testplatform,fs/nfsd/vfs,5468
linux-2.4.23-pre3-testplatform,fs/fifo,472
linux-2.4.23-pre3-testplatform,fs/exec,3016
linux-2.4.23-pre3-testplatform,fs/file_table,639
linux-2.4.23-pre3-testplatform,fs/buffer,8141
linux-2.4.23-pre3-testplatform,fs/open,2664
linux-2.4.23-pre3-testplatform,fs/devices,722
linux-2.4.23-pre3-testplatform,fs/select,1536
linux-2.4.23-pre3-testplatform,fs/super,2310
linux-2.4.23-pre3-testplatform,fs/fcntl,1146
linux-2.4.23-pre3-testplatform,fs/dcache,3086
linux-2.4.23-pre3-testplatform,fs/char_dev,315
linux-2.4.23-pre3-testplatform,fs/read_write,1468
linux-2.4.23-pre3-testplatform,fs/namespace,3331
linux-2.4.23-pre3-testplatform,fs/ext3/balloc,3236
linux-2.4.23-pre3-testplatform,fs/ext3/symlink,112
linux-2.4.23-pre3-testplatform,fs/ext3/ialloc,2087
linux-2.4.23-pre3-testplatform,fs/ext3/super,8200
linux-2.4.23-pre3-testplatform,fs/ext3/bitmap,116
linux-2.4.23-pre3-testplatform,fs/ext3/ioctl,575
linux-2.4.23-pre3-testplatform,fs/ext3/fsync,241
linux-2.4.23-pre3-testplatform,fs/ext3/inode,7657
linux-2.4.23-pre3-testplatform,fs/ext3/namei,4899
linux-2.4.23-pre3-testplatform,fs/ext3/dir,860
linux-2.4.23-pre3-testplatform,fs/ext3/file,298
linux-2.4.23-pre3-testplatform,fs/lockd/host,1244
linux-2.4.23-pre3-testplatform,fs/lockd/svcsubs,923
linux-2.4.23-pre3-testplatform,fs/lockd/clntlock,680
linux-2.4.23-pre3-testplatform,fs/lockd/svc4proc,2208
linux-2.4.23-pre3-testplatform,fs/lockd/svclock,1803
linux-2.4.23-pre3-testplatform,fs/lockd/lockd_syms,0
linux-2.4.23-pre3-testplatform,fs/lockd/xdr4,2920
linux-2.4.23-pre3-testplatform,fs/lockd/xdr,3055
linux-2.4.23-pre3-testplatform,fs/lockd/clntproc,2235
linux-2.4.23-pre3-testplatform,fs/lockd/svcproc,2264
linux-2.4.23-pre3-testplatform,fs/lockd/svcshare,284
linux-2.4.23-pre3-testplatform,fs/lockd/mon,858
linux-2.4.23-pre3-testplatform,fs/lockd/svc,1224
linux-2.4.23-pre3-testplatform,fs/ioctl,328
linux-2.4.23-pre3-testplatform,fs/readdir,1181
linux-2.4.23-pre3-testplatform,fs/nfs/proc,1248
linux-2.4.23-pre3-testplatform,fs/nfs/unlink,560
linux-2.4.23-pre3-testplatform,fs/nfs/symlink,304
linux-2.4.23-pre3-testplatform,fs/nfs/nfs2xdr,2908
linux-2.4.23-pre3-testplatform,fs/nfs/read,1616
linux-2.4.23-pre3-testplatform,fs/nfs/flushd,352
linux-2.4.23-pre3-testplatform,fs/nfs/nfs3proc,2016
linux-2.4.23-pre3-testplatform,fs/nfs/pagelist,1603
linux-2.4.23-pre3-testplatform,fs/nfs/write,4226
linux-2.4.23-pre3-testplatform,fs/nfs/nfs3xdr,3920
linux-2.4.23-pre3-testplatform,fs/nfs/inode,5332
linux-2.4.23-pre3-testplatform,fs/nfs/dir,3348
linux-2.4.23-pre3-testplatform,fs/nfs/file,776
linux-2.4.23-pre3-testplatform,fs/ramfs/inode,1075
linux-2.4.23-pre3-testplatform,fs/stat,432
linux-2.4.23-pre3-testplatform,fs/jbd/commit,3454
linux-2.4.23-pre3-testplatform,fs/jbd/checkpoint,2670
linux-2.4.23-pre3-testplatform,fs/jbd/journal,6243
linux-2.4.23-pre3-testplatform,fs/jbd/transaction,7552
linux-2.4.23-pre3-testplatform,fs/jbd/revoke,1655
linux-2.4.23-pre3-testplatform,fs/jbd/recovery,1666
linux-2.4.23-pre3-testplatform,fs/binfmt_script,300
linux-2.4.23-pre3-testplatform,fs/inode,3469
linux-2.4.23-pre3-testplatform,fs/namei,6305
linux-2.4.23-pre3-testplatform,fs/quota,2066
linux-2.4.23-pre3-testplatform,fs/file,577
linux-2.4.23-pre3-testplatform,drivers/net/net_init,571
linux-2.4.23-pre3-testplatform,drivers/net/auto_irq,48
linux-2.4.23-pre3-testplatform,drivers/net/setup,36
linux-2.4.23-pre3-testplatform,drivers/net/loopback,268
linux-2.4.23-pre3-testplatform,drivers/net/Space,3352
linux-2.4.23-pre3-testplatform,drivers/char/n_tty,3879
linux-2.4.23-pre3-testplatform,drivers/char/misc,720
linux-2.4.23-pre3-testplatform,drivers/char/pty,1331
linux-2.4.23-pre3-testplatform,drivers/char/mem,2084
linux-2.4.23-pre3-testplatform,drivers/char/random,3824
linux-2.4.23-pre3-testplatform,drivers/char/raw,1076
linux-2.4.23-pre3-testplatform,drivers/char/tty_io,8275
linux-2.4.23-pre3-testplatform,drivers/char/tty_ioctl,1471
linux-2.4.23-pre3-testplatform,drivers/block/blkpg,784
linux-2.4.23-pre3-testplatform,drivers/block/elevator,480
linux-2.4.23-pre3-testplatform,drivers/block/genhd,182
